Z,Symbol,Name,LatinName
89,Ac,Actínio,Actinium
47,Ag,Prata,Argentum
13,Al,Alumínio,Alumen
95,Am,Amerício,Americium
18,Ar,Argônio,Argon
33,As,Arsénio,Arsenicum
85,At,Ástato,Astatum
79,Au,Ouro,Aurum
5,B,Boro,Borium
56,Ba,Bário,Barium
4,Be,Berílio,Beryllium
107,Bh,Bóhrio,Bohrium
83,Bi,Bismuto,Bismuthum
97,Bk,Berquélio,Berkelium
35,Br,Bromo,Bromum
6,C,Carbono,Carbonium
20,Ca,Cálcio,Calcium
48,Cd,Cádmio,Cadmium
58,Ce,Cério,Cerium
98,Cf,Califórnio,Californium
17,Cl,Cloro,Clorum
96,Cm,Cúrio,Curium
112,Cn,Copernício,Copernicium
27,Co,Cobalto,Cobaltum
24,Cr,Cromo,Chromium
55,Cs,Césio,Caesium
29,Cu,Cobre,Cuprum
105,Db,Dúbnio,Dubnium
110,Ds,Darmstácio,Darmstadtium
66,Dy,Disprósio,Dysprosium
68,Er,Érbio,Erbium
99,Es,Einsténio,Einsteinium
63,Eu,Európio,Europium
9,F,Flúor,Fluorum
26,Fe,Ferro,Ferrum
114,Fl,Fleróvio,Flerovium
100,Fm,Férmio,Fermium
87,Fr,Frâncio,Francium
31,Ga,Gálio,Galium
64,Gd,Gadolínio,Gadolinium
32,Ge,Germânio,Germanium
1,H,Hidrogênio,Hydrogenium
2,He,Hélio,Helium
72,Hf,Háfnio,Hafnium
80,Hg,Mercúrio,Hydrargyrum
67,Ho,Hólmio,Holmium
108,Hs,Hássio,Hassium
53,I,Iodo,Iodum
49,In,Índio,Indium
77,Ir,Irídio,Iridium
19,K,Potássio,Kalium
36,Kr,Criptônio,Krypton
57,La,Lantânio,Lanthanum
3,Li,Lítio,Lithium
103,Lr,Laurêncio,Lawrencium
71,Lu,Lutécio,Lutetium
116,Lv,Livermório,Livermorium
115,Mc,Moscóvio,Moscovium
101,Md,Mendelévio,Mendelevium
12,Mg,Magnésio,Magnesium
25,Mn,Manganês,Manganum
42,Mo,Molibdénio,Molybdenum
109,Mt,Meitnério,Meitnerium
7,N,Nitrogênio,Nitrogenium
11,Na,Sódio,Natrium
41,Nb,Nióbio,Niobium
60,Nd,Neodímio,Neodymium
10,Ne,Neônio,Neon
113,Nh,Nipônio,Nihonium
28,Ni,Níquel,Niccolum
102,No,Nobélio,Nobelium
93,Np,Ne(p)túnio,Neptunium
8,O,Oxigênio,Oxygenium
118,Og,Oganésson,Oganesson
76,Os,Ósmio,Osmium
15,P,Fósforo,Phosphorus
91,Pa,Protactínio,Protactinium
82,Pb,Chumbo,Plumbum
46,Pd,Paládio,Palladium
61,Pm,Promécio,Promethium
84,Po,Polônio,Polonium
59,Pr,Praseodímio,Praseodymium
78,Pt,Platina,Platinum
94,Pu,Plutônio,Plutonium
88,Ra,Rádio,Radium
37,Rb,Rubídio,Rubidium
75,Re,Rênio,Rhenium
104,Rf,Rutherfórdio,Rhuterfordium
111,Rg,Roentgénio,Roentgenium
45,Rh,Ródio,Rhodium
86,Rn,Rádon,Radon
44,Ru,Rutênio,Ruthenium
16,S,Enxofre,Sulphur
51,Sb,Antimônio,Stibium
21,Sc,Escândio,Scandium
34,Se,Selénio,Selenium
106,Sg,Seabórgio,Seaborgium
14,Si,Silício,Silicium
62,Sm,Samário,Samarium
50,Sn,Estanho,Stannum
38,Sr,Estrôncio,Strontium
73,Ta,Tântalo,Tantalum
65,Tb,Térbio,Terbium
43,Tc,Tecnécio,Technetium
52,Te,Telúrio,Tellurium
90,Th,Tório,Thorium
22,Ti,Titânio,Titanium
81,Tl,Tálio,Thallium
69,Tm,Túlio,Thulium
117,Ts,Tenesso,Tennessine
92,U,Urânio,Uranium
23,V,Vanádio,Vanadium
74,W,Tungstênio,Wolframium
54,Xe,Xenônio,Xenon
39,Y,Ítrio,Yttrium
70,Yb,Itérbio,Ytterbium
30,Zn,Zinco,Zincum
40,Zr,Zircônio,Zirconium
